352 348.01 344.01 343 341 340 337 
335 335 335 337.01 340 345 347 
350 355 358 362.01 365 368 372 
354.01 351 348 346 345 343 340 
337 335 335 336.01 340 346 350 
354 358 363.01 367.01 371 373 375 
358 354 351 348 347 345 343 
341 340 335 335.01 338 348 353 
358 364.01 368 373 377 378 379 
356 354 353 350 349 347 345 
343 341 337 335.01 338 347 355 
363.01 370 376 381 384 385 383 
353 353 353 351 350 348 346 
344 341 337 331.01 336 344 355.01 
366 375 385 392 395 397 391 
351.01 351 350 350 349 347 345 
343 341 333.01 330 339 346.01 354 
366 377 392 405 408 407 395 
347 348.01 348 348 347 345 342 
339 338 330.01 333 342 350.01 357 
370 378 396 423.3 436.3 416 395 
344 344 344 344 345 344 340 
335 330 330.01 334 342.01 351 357 
367 378 395 420 440 416 396 
342.01 340.01 340.01 340.01 340.01 340.01 340.01 
335.01 330.01 328 332 340.01 350 356 
366 376 392 407 405 398.01 391.01 
342 341 340 338.01 331 331 331 
330 330 320.01 327.01 335 345 353 
362 373 381 390 385.01 382 381 
351 355 351 342 334.01 331 330 
328 320 320.01 320 322.01 337 347 
356 370 371 370.01 366 360 370 
371 362 360 346 340 336.01 335 
331 330 321.01 317 315.01 324 340 
348 356 356.01 353 352 349 354 
370 358 350 344 339 334 331.01 
330.01 330 327.01 322 317 315.01 331 
340 345.01 345 340 336 337.01 341.01 
368 357.01 347.01 339.01 334.01 330.01 328 
327 326.01 325.01 324 320 315 317.01 
330.01 334 336 332.01 330.01 330 333 
361.01 354 347 339 334 330 325 
322 320 320.01 318 315 315.2 315.2 
318.21 324 328.01 327 324 323 326 
362 361 355 350 336 332 328 
325 325.2 322.21 321.21 320.21 318.21 311.21 
310.21 313.21 320 322 320 316 319 
372 370 360 350 340 334 332.2 
330 330.2 328.21 325.2 324.2 321.2 316.2 
310.2 310.01 306.01 311.01 311.01 308.01 311.01 
380 375 367 356 347 340 335 
334.21 332.01 330.2 328.21 325.2 323.2 320.2 
316 317 310 307 305 305 305 
387 382 376 365 354 346 342.01 
339.2 335.2 333.2 330.21 325.2 324.2 325.2 
321.2 319 324 327 320 313 305 
395 390 383 373 362.01 353.01 347 
342.2 338.2 335.2 330.21 325.2 325.2 328.2 
323.2 320 325 331 334 327 310 
399 396 391 379.01 367 358 353 
348 342 337.2 330.2 326.21 331 335.2 
332 328 331 333 332 320 315.3 
404.01 401 395.01 382 371 364 359 
351 344 337 335.01 333 334.01 340 
340 340 341 340 329 324.3 334.3 
406 405.01 400 386 373 365 358 
349 342 339 342.01 342 341 345.01 
348 350 350 342 334.3 344.3 354.3 
410.01 409 402 386 372 366 361 
355 347 346 349 350.01 348 349 
352.01 358 355 345.3 350.3 364.3 371.3 
413 415 410 385 376 372 367 
360 356 357 356 356.01 353 353 
354 358.01 359.3 360.3 367.3 373.3 380.3 
412 414 412 393 383 379 374 
369 364 363 362 361.01 357 357 
357 357 360.31 367.3 373.3 379.3 380.3 
401 413 416 410 395 388 382 
377 373 371 369 368.01 361 362 
360 359 360 368.31 372.3 378.3 380.3 
390 407 421 421 413 400 392 
385 381 378 374 372.01 369 370 
365 361 359 361 367.31 372.3 376.3 
390 410 422 427 428 418 402 
394 390 384 380 378 374.01 370 
366 360 355 355 359.3 362.3 364.3 
387 402 412 421 430 422 415 
407 398 391 386 382 378.01 373 
367 358 353 350 351 353.01 351.31 
382 392 404 413 417 416 415 
414 410 399 391 386 382.01 378 
373 365 357 349 340 342 341 
377 388 402 408 408 407 413 
412 411 410 397 390 387.01 383 
380.3 374.3 366.3 355.3 345 339 330
